Location,Balgreen and Roseburn,Blackhall,Broughton North and Powderhall,Broughton South,Bruntsfield,Comely Bank,Dalry and Fountainbridge,Drylaw,Gorgie East,Hillside and Calton Hill,Marchmont East and Sciennes,Marchmont West,Meadowbank and Abbeyhill North,Merchiston and Greenhill,New Town East and Gayfield,Newington and Dalkeith Road,"Old Town, Princes Street and Leith Street",Prestonfield,Stockbridge,Tollcross
Balgreen and Roseburn,0.0,1.9909999999999999,4.2989999999999995,4.627,2.541,2.4930000000000003,2.004,2.418,1.429,4.913,3.8369999999999997,3.303,5.705,2.562,4.178999999999999,4.734,3.8289999999999997,5.5920000000000005,3.0439999999999996,2.862
Blackhall,1.9909999999999999,0.0,4.2330000000000005,4.671,3.9530000000000003,2.5580000000000003,3.2539999999999996,0.934,2.965,5.22,5.0489999999999995,4.628,6.105,4.195,4.422,5.862,4.516,6.818,3.113,3.889
Broughton North and Powderhall,4.2989999999999995,4.2330000000000005,0.0,0.46399999999999997,3.135,1.84,2.878,3.431,3.431,1.196,2.9330000000000003,3.06,2.045,3.7119999999999997,0.665,3.1460000000000004,1.619,4.018,1.2590000000000001,2.335
Broughton South,4.627,4.671,0.46399999999999997,0.0,3.225,2.22,3.065,3.884,3.657,0.7709999999999999,2.825,3.0380000000000003,1.588,3.792,0.5710000000000001,2.909,1.527,3.727,1.6280000000000001,2.416
Bruntsfield,2.541,3.9530000000000003,3.135,3.225,0.0,2.2230000000000003,0.711,3.7739999999999996,1.113,3.1239999999999997,1.319,0.764,3.695,0.5770000000000001,2.656,2.221,1.837,3.051,2.313,0.809
Comely Bank,2.4930000000000003,2.5580000000000003,1.84,2.22,2.2230000000000003,0.0,1.625,1.9469999999999998,1.936,2.681,2.8489999999999998,2.613,3.5580000000000003,2.7310000000000003,1.885,3.52,2.011,4.5,0.5920000000000001,1.716
Dalry and Fountainbridge,2.004,3.2539999999999996,2.878,3.065,0.711,1.625,0.0,3.065,0.648,3.138,1.868,1.386,3.8369999999999997,1.123,2.524,2.7489999999999997,1.92,3.647,1.848,0.8740000000000001
Drylaw,2.418,0.934,3.431,3.884,3.7739999999999996,1.9469999999999998,3.065,0.0,2.963,4.494,4.697,4.356,5.385,4.131,3.705,5.436,3.958,6.412000000000001,2.427,3.523
Gorgie East,1.429,2.965,3.431,3.657,1.113,1.936,0.648,2.963,0.0,3.7739999999999996,2.411,1.874,4.484,1.2329999999999999,3.1319999999999997,3.31,2.568,4.163,2.3,1.517
Hillside and Calton Hill,4.913,5.22,1.196,0.7709999999999999,3.1239999999999997,2.681,3.138,4.494,3.7739999999999996,0.0,2.423,2.761,0.8909999999999999,3.654,0.799,2.306,1.288,3.04,2.1069999999999998,2.35
Marchmont East and Sciennes,3.8369999999999997,5.0489999999999995,2.9330000000000003,2.825,1.319,2.8489999999999998,1.868,4.697,2.411,2.423,0.0,0.574,2.728,1.5919999999999999,2.296,0.902,1.315,1.7819999999999998,2.6489999999999996,1.175
Marchmont West,3.303,4.628,3.06,3.0380000000000003,0.764,2.613,1.386,4.356,1.874,2.761,0.574,0.0,3.187,1.0290000000000001,2.476,1.4680000000000002,1.52,2.289,2.531,0.903
Meadowbank and Abbeyhill North,5.705,6.105,2.045,1.588,3.695,3.5580000000000003,3.8369999999999997,5.385,4.484,0.8909999999999999,2.728,3.187,0.0,4.17,1.685,2.302,1.9169999999999998,2.775,2.992,2.991
Merchiston and Greenhill,2.562,4.195,3.7119999999999997,3.792,0.5770000000000001,2.7310000000000003,1.123,4.131,1.2329999999999999,3.654,1.5919999999999999,1.0290000000000001,4.17,0.0,3.222,2.4530000000000003,2.367,3.16,2.87,1.381
New Town East and Gayfield,4.178999999999999,4.422,0.665,0.5710000000000001,2.656,1.885,2.524,3.705,3.1319999999999997,0.799,2.296,2.476,1.685,3.222,0.0,2.4819999999999998,0.982,3.364,1.3090000000000002,1.847
Newington and Dalkeith Road,4.734,5.862,3.1460000000000004,2.909,2.221,3.52,2.7489999999999997,5.436,3.31,2.306,0.902,1.4680000000000002,2.302,2.4530000000000003,2.4819999999999998,0.0,1.6340000000000001,0.9790000000000001,3.205,1.9780000000000002
"Old Town, Princes Street and Leith Street",3.8289999999999997,4.516,1.619,1.527,1.837,2.011,1.92,3.958,2.568,1.288,1.315,1.52,1.9169999999999998,2.367,0.982,1.6340000000000001,0.0,2.589,1.604,1.082
Prestonfield,5.5920000000000005,6.818,4.018,3.727,3.051,4.5,3.647,6.412000000000001,4.163,3.04,1.7819999999999998,2.289,2.775,3.16,3.364,0.9790000000000001,2.589,0.0,4.177,2.929
Stockbridge,3.0439999999999996,3.113,1.2590000000000001,1.6280000000000001,2.313,0.5920000000000001,1.848,2.427,2.3,2.1069999999999998,2.6489999999999996,2.531,2.992,2.87,1.3090000000000002,3.205,1.604,4.177,0.0,1.64
Tollcross,2.862,3.889,2.335,2.416,0.809,1.716,0.8740000000000001,3.523,1.517,2.35,1.175,0.903,2.991,1.381,1.847,1.9780000000000002,1.082,2.929,1.64,0.0
