Location,Average of Easting,Average of Northing,Sum of ResPop2011,Sum of TotPop2011
Abbeyhill,327137.667,674206.667,2410,2507
Baberton and Juniper Green,319641.2,669020.2,3918,3954
Balerno and Bonnington Village,316193,666271.375,5771,5796
Balgreen and Roseburn,322026.5,672891.5,4274,4305
"Barnton, Cammo and Cramond South",318467.5,675177.5,3770,3770
"Bingham, Magdalene and The Christians",330615.4,672667,3535,3654
"Blackford, West Mains and Mayfield Road",326627.25,671118.5,5982,6240
Blackhall,321404.429,674785.143,5578,5674
Bonaly and The Pentlands,321154.833,668474,4273,4295
Bonnington,326008,676052.5,3357,3414
Boswall and Pilton,323634.857,676308.286,5047,5104
Broomhouse and Bankhead,320199.4,671241.8,3492,3555
Broughton North and Powderhall,325623.75,675264.5,3723,3726
Broughton South,326075.2,675154.2,4099,4210
Bruntsfield,324512.429,672328,5668,5758
"Canongate, Southside and Dumbiedykes",326379.5,673300.5,5125,5915
Canonmills and New Town North,325282.75,674790,3206,3212
Carrick Knowe,320634.5,672255,2762,2762
Clermiston and Drumbrae,319576.143,674425.143,5925,5971
Clovenstone and Wester Hailes,320233.8,669561.4,3186,3223
Colinton and Kingsknowe,322002.6,669213.8,3743,4112
Colinton Mains and Firrhill,323179.2,669200.4,3930,3938
Comely Bank,323952,674482.5,3169,3614
Comiston and Swanston,323970.75,668517.75,5451,5463
Corstorphine,320062.429,672910.143,5240,5372
Corstorphine North,319788.333,673722.333,3130,3130
Corstorphine South,319901.833,672026,4146,4146
Craigentinny,329363.5,674498.75,2854,2855
"Craigleith, Orchard Brae and Crewe Toll",323170.5,674872.333,4183,4227
Craiglockhart,322608.667,670618.667,4798,4843
Craigmillar,328807.6,671631.6,3135,3161
Cramond,318810,676255.333,2434,2492
Currie East,318548.75,668162,3050,3050
Currie West,317577.25,667789.5,3272,4782
"Dalmeny, Kirkliston and Newbridge",312598,674650,5064,5092
Dalry and Fountainbridge,324036,672858.625,5878,6462
Deans Village,323842.143,673534,5899,6021
Drylaw,322182.8,675306.2,4611,4618
Duddingston and Portobello South,329880.4,673054.8,3849,3881
East Craigs North,318643.4,674243.6,4106,4106
East Craigs South,318716.429,673403.714,4887,4887
Easter Road and Hawkhill Avenue,327167,674949.5,3419,3423
Fairmilehead,325061.833,668528,4925,4925
Fernieside and Moredun South,329292.2,669338,4116,4120
Gilmerton South and the Murrays,328801,668168.333,2793,2797
Gorgie East,323433.4,672615.4,3555,3563
Gorgie West,322775.6,672184.6,4272,4272
"Gracemount, Southhouse and Burdiehouse",327655.667,668279.667,5244,5272
Grand Total,324051.797,672869.861,462334,476626
Granton and Royston Mains,323131.75,676762.25,3364,3364
Granton South and Wardieburn,323524.75,676819.75,2894,2912
Granton West and Salvesen,322031.8,676504.6,3688,3788
Great Junction Street,326794.571,676101.857,4980,5025
Greenbank and The Braids,323840.2,669983.4,4286,4291
Hillside and Calton Hill,326638.857,674625.429,5143,5164
Hyvots and Gilmerton,328709.8,668581.8,3568,3593
"Inverleith, Goldenacre and Warriston",324704.5,675784.75,3573,3687
"Jewel, Brunstane and Newcraighall",331148.6,672104.8,3270,3270
Joppa,331523.5,673296.5,4975,5136
Leith (Albert Street),326685,675034,3068,3185
Leith (Hermitage and Prospect Bank),327753.5,675557.333,4652,4698
Liberton East,328252.5,669272,3167,3274
Liberton West and Braid Hills,327258.25,669690,2714,3004
Longstone and Saughton,321209.4,670822.8,3957,4596
Marchmont East and Sciennes,325835.667,672336.167,4944,5277
Marchmont West,325271,672221.857,5059,5144
Meadowbank and Abbeyhill North,327521.4,674487.8,4014,4072
Meadows and Southside,326011.5,672683.375,5888,6556
Merchiston and Greenhill,324340.5,671776.5,4730,5018
Moredun and Craigour,328829.75,669603.75,3090,3168
Morningside,324785.125,671106.125,5357,5575
Morningside and Craighouse,324035.6,670694,4290,4347
Mortonhall and Anwickhill,326902,668449.333,2643,2658
Mountcastle,329394.25,673817.5,2549,2549
Muirhouse,321397.833,675919.667,4814,4814
Murrayburn and Wester Hailes North,320251.2,670219.6,3694,3694
Murrayfield and Ravelston,322485.4,673682.4,3959,4215
New Town East and Gayfield,325837,674634.5,2996,3031
New Town West,324973.75,674366.25,3558,3569
Newington and Dalkeith Road,326740.2,672319,4123,6070
Niddrie,329997.5,671670.167,4261,4330
North Leith and Newhaven,326125.833,676734.333,4944,5065
Northfield and Piershill,328861.25,673819.5,3500,3512
"Old Town, Princes Street and Leith Street",325790.167,673652.667,4508,5651
Oxgangs,323546.75,668852.75,2639,2639
Parkhead and Sighthill,320155.75,670707.25,3121,3121
Pilrig,326493,675509,3227,3243
Polwarth,323758.833,672354.667,4408,4468
Portobello,330476.167,674008.667,3919,3926
Prestonfield,327509,671709.25,3386,3474
Queensferry East,313315.167,677783.5,4753,4754
Queensferry West,312018.2,678156,4011,4012
"Ratho, Ingliston and Gogar",314755,671705,3264,3264
Restalrig (Loganlea) and Craigentinny West,328590.6,674666.2,3476,3476
Restalrig and Lochend,328019.167,675050.667,4364,4420
Shandon,323251.667,671881.5,4829,5042
Silverknowes and Davidson's Mains,320786,675628.833,4288,4288
Slateford and Chesser,322351.167,671508.5,4817,4817
South Gyle,318887.667,672308.667,4650,4767
South Leith,327085.167,675535.167,5244,5260
Stenhouse and Saughton Mains,321281.75,671779.75,5726,5770
Stockbridge,324524.857,674643.143,5671,5686
The Calders,319286,670237.4,4534,4534
The Grange,326096.429,671660.571,5410,5608
The Inch,327820.5,670268.333,4893,4895
The Shore and Constitution Street,327219.143,676422.286,4886,4929
Tollcross,324893.429,673043.429,5502,6233
Trinity,324629.667,676518.5,4408,4461
Trinity East and The Dudleys,325591.8,676605.6,3635,3701
West Pilton,322468.6,676008,4611,4623
Western Harbour and Leith Docks,326610.25,676918,2789,2837
Willowbrae and Duddingston Village,328541.429,673642.714,5399,5407
