Location,Prop Walking,Prop Bus,Prop Biking,Prop Taxi,Prop Motorcycle,Prop Driving or Passenger in Car,Other
Abbeyhill,0.3013,0.3283,0.05,0.0056,0.0063,0.302,0.006
Baberton and Juniper Green,0.1465,0.2584,0.0164,0.0085,0.0059,0.557,0.007
Balerno and Bonnington Village,0.2183,0.1466,0.0102,0.0063,0.0063,0.606,0.007
Balgreen and Roseburn,0.2019,0.3266,0.0266,0.0053,0.0042,0.428,0.008
"Barnton, Cammo and Cramond South",0.0867,0.139,0.016,0.0028,0.0028,0.744,0.008
"Bingham, Magdalene and The Christians",0.3037,0.3387,0.0152,0.0063,0.0037,0.328,0.004
"Blackford, West Mains and Mayfield Road",0.2541,0.2114,0.0435,0.0149,0.0048,0.466,0.005
Blackhall,0.176,0.1812,0.0276,0.0016,0.0053,0.6,0.008
Bonaly and The Pentlands,0.1025,0.1813,0.0207,0.0027,0.0057,0.68,0.007
Bonnington,0.2321,0.3042,0.0382,0.0022,0.0038,0.416,0.003
Boswall and Pilton,0.2173,0.2746,0.0238,0.0047,0.0014,0.474,0.004
Broomhouse and Bankhead,0.3426,0.3294,0.0137,0.0078,0.0055,0.299,0.002
Broughton North and Powderhall,0.3541,0.2795,0.0331,0.0059,0.0059,0.317,0.004
Broughton South,0.3741,0.2436,0.0358,0.0061,0.0031,0.33,0.008
Bruntsfield,0.4368,0.2174,0.0779,0.0032,0.0043,0.255,0.005
"Canongate, Southside and Dumbiedykes",0.5002,0.255,0.0407,0.0065,0.0025,0.192,0.003
Canonmills and New Town North,0.4266,0.2183,0.0333,0.005,0.0023,0.306,0.009
Carrick Knowe,0.254,0.254,0.0181,0.0077,0.0026,0.459,0.004
Clermiston and Drumbrae,0.2642,0.2837,0.0087,0.009,0.0058,0.425,0.003
Clovenstone and Wester Hailes,0.3366,0.3388,0.0119,0.0089,0.0022,0.296,0.005
Colinton and Kingsknowe,0.2918,0.1485,0.0264,0.0026,0.0085,0.507,0.016
Colinton Mains and Firrhill,0.2543,0.329,0.0123,0.0049,0.0066,0.39,0.003
Comely Bank,0.3929,0.1706,0.0302,0.0086,0.0048,0.381,0.012
Comiston and Swanston,0.1365,0.2094,0.0265,0.0038,0.0068,0.608,0.009
Corstorphine,0.1891,0.2414,0.018,0.0033,0.0057,0.533,0.009
Corstorphine North,0.2647,0.2134,0.0193,0.0033,0.0061,0.486,0.008
Corstorphine South,0.2621,0.2603,0.0168,0.0058,0.0027,0.449,0.003
Craigentinny,0.098,0.2728,0.0132,0.0074,0.0069,0.597,0.005
"Craigleith, Orchard Brae and Crewe Toll",0.2843,0.183,0.0221,0.0106,0.0049,0.489,0.007
Craiglockhart,0.1211,0.2316,0.0308,0.0055,0.0044,0.602,0.004
Craigmillar,0.2777,0.3736,0.0179,0.0125,0.0078,0.303,0.008
Cramond,0.23,0.1412,0.0141,0.0034,0.0027,0.595,0.013
Currie East,0.2317,0.1911,0.0135,0.0025,0.009,0.544,0.008
Currie West,0.4735,0.1186,0.0113,0.0047,0.0033,0.384,0.004
"Dalmeny, Kirkliston and Newbridge",0.1809,0.2216,0.0102,0.0054,0.0121,0.566,0.004
Dalry and Fountainbridge,0.3856,0.3406,0.0404,0.0072,0.0039,0.216,0.006
Deans Village,0.389,0.2065,0.0299,0.004,0.003,0.353,0.015
Drylaw,0.2814,0.3203,0.0124,0.0064,0.0048,0.37,0.004
Duddingston and Portobello South,0.2013,0.1952,0.0178,0.0087,0.0043,0.567,0.006
East Craigs North,0.1873,0.2556,0.0198,0.0035,0.0074,0.52,0.006
East Craigs South,0.1997,0.2092,0.0135,0.004,0.0057,0.563,0.005
Easter Road and Hawkhill Avenue,0.2576,0.3849,0.0302,0.0041,0.007,0.313,0.003
Fairmilehead,0.1351,0.2324,0.0195,0.0054,0.0048,0.599,0.004
Fernieside and Moredun South,0.1753,0.347,0.0081,0.0072,0.0049,0.455,0.003
Gilmerton South and the Murrays,0.0739,0.2315,0.0099,0.0071,0.008,0.663,0.006
Gorgie East,0.251,0.4213,0.0321,0.0036,0.0067,0.28,0.006
Gorgie West,0.1751,0.4764,0.0267,0.003,0.0045,0.309,0.005
"Gracemount, Southhouse and Burdiehouse",0.3077,0.3279,0.0091,0.0121,0.0037,0.334,0.005
Granton and Royston Mains,0.209,0.3894,0.0193,0.0086,0.0043,0.365,0.004
Granton South and Wardieburn,0.2813,0.4032,0.0236,0.0076,0.0061,0.275,0.003
Granton West and Salvesen,0.2326,0.3414,0.0235,0.0028,0.0043,0.389,0.006
Great Junction Street,0.2668,0.3804,0.0316,0.0064,0.0054,0.304,0.005
Greenbank and The Braids,0.1605,0.197,0.0314,0.0018,0.0037,0.594,0.012
Hillside and Calton Hill,0.3498,0.311,0.0437,0.005,0.0052,0.278,0.007
Hyvots and Gilmerton,0.2415,0.3164,0.0066,0.0056,0.0038,0.417,0.009
"Inverleith, Goldenacre and Warriston",0.2392,0.2486,0.0315,0.0028,0.0033,0.468,0.007
"Jewel, Brunstane and Newcraighall",0.1124,0.2614,0.0128,0.0085,0.0047,0.596,0.005
Joppa,0.1656,0.2282,0.0338,0.0056,0.0056,0.554,0.007
Leith (Albert Street),0.2973,0.3953,0.035,0.003,0.0042,0.264,0.002
Leith (Hermitage and Prospect Bank),0.2757,0.2483,0.0292,0.0065,0.0058,0.429,0.006
Liberton East,0.096,0.2322,0.0178,0.0064,0.0096,0.631,0.007
Liberton West and Braid Hills,0.1249,0.2232,0.0196,0.0063,0.0046,0.618,0.003
Longstone and Saughton,0.2097,0.311,0.0147,0.0103,0.0071,0.444,0.003
Marchmont East and Sciennes,0.553,0.1474,0.0802,0.0026,0.0024,0.209,0.005
Marchmont West,0.5742,0.1295,0.083,0.0031,0.0022,0.203,0.005
Meadowbank and Abbeyhill North,0.2404,0.3615,0.0393,0.0076,0.0058,0.342,0.003
Meadows and Southside,0.5735,0.2008,0.0675,0.0038,0.0029,0.149,0.002
Merchiston and Greenhill,0.3374,0.2145,0.0602,0.0045,0.0055,0.372,0.006
Moredun and Craigour,0.2454,0.3386,0.0082,0.0101,0.0063,0.386,0.005
Morningside,0.2479,0.2394,0.0599,0.0047,0.0041,0.437,0.007
Morningside and Craighouse,0.224,0.2656,0.0457,0.0024,0.0065,0.447,0.009
Mortonhall and Anwickhill,0.0714,0.2625,0.0138,0.0051,0.0102,0.633,0.005
Mountcastle,0.2567,0.2561,0.0112,0.0091,0.0075,0.456,0.004
Muirhouse,0.3668,0.3454,0.0194,0.0084,0.005,0.248,0.007
Murrayburn and Wester Hailes North,0.3471,0.3761,0.009,0.0071,0.0029,0.255,0.002
Murrayfield and Ravelston,0.2082,0.1654,0.026,0.0059,0.0076,0.578,0.009
New Town East and Gayfield,0.4596,0.2146,0.0329,0.005,0.0055,0.272,0.01
New Town West,0.4812,0.1483,0.0298,0.0043,0.003,0.319,0.015
Newington and Dalkeith Road,0.6089,0.1391,0.0636,0.0038,0.0034,0.176,0.005
Niddrie,0.3208,0.3304,0.0102,0.0063,0.0034,0.326,0.003
North Leith and Newhaven,0.2556,0.3503,0.0356,0.0085,0.0071,0.338,0.004
Northfield and Piershill,0.2514,0.3431,0.017,0.0065,0.001,0.378,0.003
"Old Town, Princes Street and Leith Street",0.5888,0.2285,0.0346,0.0055,0.0016,0.132,0.009
Oxgangs,0.2637,0.3402,0.0103,0.0045,0.0058,0.372,0.004
Parkhead and Sighthill,0.2824,0.2636,0.0131,0.0096,0.0039,0.425,0.002
Pilrig,0.2921,0.3514,0.0293,0.0031,0.0062,0.313,0.004
Polwarth,0.327,0.3153,0.0539,0.0018,0.0031,0.293,0.006
Portobello,0.2297,0.3285,0.0383,0.0058,0.0054,0.388,0.005
Prestonfield,0.2475,0.3197,0.0462,0.0037,0.0032,0.375,0.005
Queensferry East,0.2558,0.1436,0.0082,0.0043,0.0059,0.575,0.007
Queensferry West,0.2278,0.1503,0.0075,0.004,0.0078,0.595,0.007
"Ratho, Ingliston and Gogar",0.1731,0.2069,0.0157,0.0051,0.0065,0.586,0.006
Restalrig (Loganlea) and Craigentinny West,0.2446,0.3873,0.0164,0.0058,0.0074,0.331,0.007
Restalrig and Lochend,0.258,0.3367,0.014,0.0092,0.0039,0.374,0.004
Shandon,0.2143,0.3313,0.0567,0.002,0.0061,0.383,0.006
Silverknowes and Davidson's Mains,0.2203,0.2037,0.03,0.0041,0.0061,0.531,0.005
Slateford and Chesser,0.2127,0.3858,0.0198,0.0044,0.0044,0.366,0.007
South Gyle,0.3179,0.153,0.0179,0.0071,0.0046,0.494,0.005
South Leith,0.289,0.3693,0.0323,0.0065,0.0092,0.289,0.005
Stenhouse and Saughton Mains,0.2142,0.4072,0.0124,0.0084,0.0077,0.347,0.003
Stockbridge,0.4161,0.186,0.0382,0.0044,0.0034,0.345,0.007
The Calders,0.3399,0.3124,0.0116,0.0093,0.0054,0.317,0.005
The Grange,0.3629,0.1382,0.0737,0.0042,0.0053,0.409,0.007
The Inch,0.2339,0.3633,0.0145,0.006,0.0052,0.372,0.006
The Shore and Constitution Street,0.197,0.3341,0.0392,0.0042,0.0053,0.411,0.009
Tollcross,0.4506,0.318,0.0434,0.0048,0.0044,0.172,0.007
Trinity,0.1666,0.2573,0.0374,0.0021,0.0035,0.527,0.007
Trinity East and The Dudleys,0.2284,0.2263,0.0379,0.0025,0.0042,0.494,0.006
West Pilton,0.2814,0.3712,0.0127,0.0123,0.0055,0.312,0.005
Western Harbour and Leith Docks,0.14,0.3129,0.0263,0.0044,0.0088,0.508,0
Willowbrae and Duddingston Village,0.212,0.2862,0.0358,0.0063,0.0039,0.452,0.004
