Location,Station,Size
Balgreen and Roseburn,0.0,0.0
Blackhall,0.0,0.0
Broughton North and Powderhall,1.0,8.0
Broughton South,0.0,0.0
Bruntsfield,1.0,3.0
Comely Bank,0.0,0.0
Dalry and Fountainbridge,1.0,4.0
Drylaw,0.0,0.0
Gorgie East,0.0,0.0
Hillside and Calton Hill,1.0,6.0
Marchmont East and Sciennes,0.0,0.0
Marchmont West,0.0,0.0
Meadowbank and Abbeyhill North,1.0,16.0
Merchiston and Greenhill,1.0,7.0
New Town East and Gayfield,1.0,5.0
Newington and Dalkeith Road,0.0,0.0
"Old Town, Princes Street and Leith Street",1.0,20.0
Prestonfield,0.0,0.0
Stockbridge,1.0,9.0
Tollcross,1.0,20.0
